,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,expected_ir,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
6863,18110,1,blkTestCatAAp,41,1,1200,Approach,1,285,Explicit,s.1ab752cc-d707-4cd2-837d-7817e19b6831.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,555,R_2XgS90ZSlYa1cnx,32,Prefer not to answer,Male,Black or African American alone,Absolutely not true,Moderate,60007,Education,vkxPSFXKqs,11,7,1.0,4,5,4,4,18,2,6.0,4,4,4,4,4,4,3,4,4,3,2,3,2,3,3,4,4,3,2,2,2,3,2,3,no,this survey paid 50 cents. it's way too long for such little pay,0.6,0.425,white,female,866.0,808.0,812.0,2384.0,0.0,3192.0,1678.0,0.0,173.2,202.0,270.6666666666667,476.8,0.0,354.6666666666667,209.75,0.0,3.0,3.25,3.0,3.0,2.75
6880,18210,1,blkTestCatAAp,31,1,1000,Approach,1,720,Explicit,s.f09336a0-0c16-41fd-a565-2ad6fc330873.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1362,R_s56mqFLFfrd1HWx,61,Female,Female,Black or African American alone,Absolutely not true,Conservative,45206,Other,6HbUmuDyrV,100,5,7.0,5,3,All,All,61,1,7.0,3,5,None,None,1,5,5,1,1,4,5,5,2,1,4,4,5,1,1,4,4,4,2,5,Everything was   very clear and understandable. ,"I enjoyed taking this survey, please send me more. ",0.6,1.0,white,male,5862.0,5769.0,5485.0,5685.0,0.0,11454.0,11347.0,0.0,586.2,576.9,548.5,568.5,0.0,572.7,567.35,0.0,2.0,4.75,3.25,4.5,1.5
6920,18310,1,blkTestCatAAp,46,2,1900,Avoid,1,91,Explicit,s.9cb7773d-12d3-413b-bc89-c47d6387250e.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,723,R_6GzcR8l5KCS9acp,66,Female,Female,Black or African American alone,Absolutely not true,Strongly conservative,31904,Other,DyTTxY8HrG,53,1,7.0,All,All,All,All,51,5,6.0,All,All,All,All,5,5,5,1,3,5,3,5,1,3,5,5,5,1,5,5,5,5,5,5,no,no,0.6,0.75,black,male,2192.0,2208.0,3020.0,1451.0,0.0,3659.0,5212.0,0.0,438.4,220.8,431.42857142857144,181.375,0.0,203.27777777777777,434.3333333333333,0.0,4.0,5.0,5.0,4.5,2.0
6950,18410,1,blkTestCatAAp,39,1,900,Approach,1,531,Explicit,s.1d16121a-0998-45fa-9e11-7f92057436d2.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,923,R_24juSAkAvUZxgm7,52,Male,Male,Black or African American alone,Absolutely not true,Liberal,75067,Other,tkfeDEzt4C,82,1,6.0,2,3,2,None,61,5,,4,5,3,5,4,5,2,4,5,4,4,3,2,4,4,4,4,2,3,4,4,4,2,5,"No, everything was very easy to understand.",Thank you for your time. ,0.6,1.0,white,female,7317.0,8468.0,7547.0,8390.0,0.0,16858.0,14864.0,0.0,731.7,846.8,754.7,839.0,0.0,842.9,743.2,0.0,4.25,3.25,4.0,4.25,2.5
6990,18510,1,blkTestCatAAp,56,2,1000,Avoid,1,1040,Explicit,s.1bb6a8bb-43d3-4745-badf-21700fce0eb3.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1072,R_SOErqRt75Kg6Mox,81,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,90046,Education,G6x4gH2Bw3,90,2,6.0,2,5,2,2,91,1,6.0,5,2,5,5,1,4,2,1,4,5,3,2,2,5,3,3,4,1,5,5,3,4,1,5,Not for me,not really,0.6,0.95,black,female,6461.0,7260.0,6470.0,9266.0,0.0,16526.0,12931.0,0.0,646.1,907.5,647.0,926.6,0.0,918.1111111111111,646.55,0.0,4.75,3.0,3.5,3.25,1.25
7028,18610,1,blkTestCatAAp,34,1,1300,Approach,1,905,Explicit,s.8fd12981-f64c-49fa-b068-6c974ea32ffd.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1370,R_2YFJiBZWDRg30sh,59,Male,Male,Black or African American alone,Absolutely not true,Slightly conservative,44125,Other,jcFf4VzUm7,82,2,6.0,5,5,4,3,45,3,6.0,All,All,5,3,2,2,2,3,4,2,2,2,2,4,2,2,4,2,4,2,2,4,4,5,Nothing was unclear!,"Yeah, I need more like this!",0.6,1.0,white,male,8334.0,8549.0,9523.0,8048.0,0.0,16597.0,17857.0,0.0,833.4,854.9,952.3,804.8,0.0,829.85,892.85,0.0,4.25,3.0,2.0,2.0,2.75
7068,18710,1,blkTestCatAAp,57,2,900,Approach,1,779,Implicit,s.b9b968b0-fa82-4009-9cd7-a6437b9fdfdd.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,903,R_ZgDhCFN34oLcaGt,36,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,51638,Health care,Kyzk9GQ8cb,81,1,3.0,None,3,None,None,80,5,6.0,All,5,All,All,3,5,2,5,5,3,5,2,3,5,1,5,4,4,4,2,3,2,4,5,Everything was pretty clear.,,0.6,0.975,black,female,5759.0,5616.0,5500.0,6235.0,5893.0,5684.0,5366.0,6167.0,575.9,561.6,611.1111111111111,623.5,589.3,568.4,596.2222222222222,616.7,4.75,2.5,2.25,4.5,4.0
7107,18810,1,blkTestCatAAp,55,2,1600,Approach,1,447,Implicit,s.a3cdd22d-a82a-4331-a400-81dfc073db24.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1801,R_3MGYgi5f75KT1XB,50,Male,Male,Black or African American alone,Absolutely not true,Moderate,78220,Other,cyYWDB2BDH,70,4,5.0,4,4,3,4,50,4,4.0,3,3,3,4,3,4,3,3,3,1,2,3,3,3,2,4,4,3,3,1,2,3,5,3,No,No,0.6,0.95,black,male,5086.0,4259.0,3917.0,4378.0,3690.0,4457.0,5313.0,4180.0,565.1111111111111,425.9,435.22222222222223,437.8,461.25,445.7,531.3,418.0,3.0,3.25,1.75,3.0,3.5
7145,18910,1,blkTestCatAAp,51,2,1600,Approach,1,947,Implicit,s.d2fd6ea6-355e-4d40-a86b-e4248d260ed6.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1064,R_1psAo3q3K5od4Pn,65,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,27332,Other,CeYNHhuxy8,100,2,7.0,2,2,3,2,100,1,7.0,4,None,5,5,4,5,3,2,5,3,4,3,2,3,3,4,5,3,4,3,4,3,2,4,nothing,none,0.6,1.0,black,male,8867.0,7143.0,8463.0,6818.0,8768.0,6981.0,8562.0,6980.0,886.7,714.3,846.3,681.8,876.8,698.1,856.2,698.0,4.0,3.5,3.25,4.25,2.25
7185,19010,1,blkTestCatAAp,56,1,1900,Avoid,1,428,Implicit,s.4bb21c9f-6f8c-4748-8908-d0ba805b7b31.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,2860,R_2wi4tmJFw2iWEIp,33,Female,Female,Black or African American alone,Absolutely not true,Liberal,39842,Prefer not to say,6WHbSDgwQX,70,1,5.0,3,3,3,3,50,1,4.0,3,None,4,None,2,4,4,1,4,2,3,5,1,5,3,4,3,1,5,1,3,5,5,5,No,no comment,0.6,0.975,black,female,4158.0,4073.0,4800.0,4709.0,3999.0,4373.0,4959.0,4409.0,415.8,452.55555555555554,480.0,470.9,399.9,437.3,495.9,489.8888888888889,4.75,4.25,2.0,3.5,2.0
7224,19110,1,blkTestCatAAp,26,1,2000,Avoid,1,1371,Implicit,s.2fe06832-39e9-476a-a408-321580a3c9cb.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1486,R_3R1jHMHC6OL4GoU,63,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,60162,Other,t2p2qpZM8g,93,2,6.0,4,5,3,4,91,2,6.0,5,5,5,5,4,5,4,2,3,4,3,4,2,3,4,4,4,2,3,4,4,4,2,2,No I was able to answer the questions.,It's interesting.,0.6,1.0,white,male,8118.0,10324.0,7814.0,8474.0,7274.0,9429.0,8658.0,9369.0,811.8,1032.4,781.4,847.4,727.4,942.9,865.8,936.9,2.75,4.0,4.0,4.0,2.0
7264,19210,1,blkTestCatAAp,45,2,1000,Approach,1,723,Implicit,s.f1476530-06d6-4cc6-8950-d47b6da9b31b.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1135,R_p5ENBmJU4JitRtf,50,Male,Male,Black or African American alone,Absolutely not true,Liberal,33616,Information services,JmaAknHnDL,51,3,4.0,2,2,2,3,53,3,4.0,2,2,2,None,2,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,nothing was unclear during this study,I do not have any additional comments about this study.,0.6,1.0,white,female,7009.0,6163.0,6121.0,5597.0,6423.0,5079.0,6707.0,6681.0,700.9,616.3,612.1,559.7,642.3,507.9,670.7,668.1,3.25,3.5,2.75,3.0,3.25
7304,19310,1,blkTestCatAAp,38,1,1400,Avoid,1,498,Implicit,s.a27ccca7-7f39-4f76-9b42-31902c59390b.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,953,R_6KxctjgKddXaaXf,72,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,93446,Other,EOZFKDhZ4U,52,1,6.0,None,None,None,4,81,5,6.0,4,4,4,4,1,4,2,1,3,4,4,3,3,4,2,3,4,3,5,2,4,3,2,4,No.,No.,0.6,1.0,white,female,9685.0,8309.0,8944.0,8823.0,9192.0,9210.0,9437.0,7922.0,968.5,830.9,894.4,882.3,919.2,921.0,943.7,792.2,4.0,3.0,2.25,3.75,2.25
7344,19412,1,blkTestCatAAp,58,1,1800,Avoid,1,560,Implicit,s.2480238d-2b4f-47a3-90d3-411b23fca7c0.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,926,R_3nqhEyX4xW6cgWx,39,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,20148,Finance,B7ALVWPkaO,51,2,5.0,4,4,3,4,51,2,5.0,4,4,3,4,2,5,4,3,3,2,4,3,2,4,4,4,5,2,3,3,5,5,2,3,It was al straightforward,,0.6,0.9,black,female,9888.0,7173.0,6417.0,6350.0,7789.0,5942.0,8516.0,7581.0,988.8,717.3,802.125,793.75,865.4444444444445,742.75,946.2222222222222,758.1,3.25,4.25,2.75,4.5,2.25
7380,19511,1,blkTestCatAAp,43,2,1100,Approach,1,1005,Implicit,s.b375574f-7c41-42e4-ba50-17d7349b1b70.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1165,R_22SbirSbpzSVPcI,56,Male,Male,Black or African American alone,Absolutely not true,Moderate,10458,Other,mpCrguzHaB,100,2,5.0,3,3,3,3,70,2,5.0,2,4,3,2,4,5,1,2,5,2,1,4,2,3,5,4,4,2,4,4,4,4,5,5,No,No,0.6,0.9,white,female,8888.0,7385.0,7774.0,7748.0,7417.0,8769.0,9245.0,6364.0,888.8,923.125,863.7777777777778,860.8888888888889,824.1111111111111,1096.125,924.5,707.1111111111111,4.25,3.25,3.75,3.5,2.75
7416,19610,1,blkTestCatAAp,31,2,1600,Approach,1,1677,Implicit,s.6740ce0c-7c85-4c21-8204-f9f6b55203ef.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1049,R_0wx3IdAdCo2P2c9,71,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,2021,Other,hnuXgDcDjY,30,3,5.0,3,2,3,3,80,2,6.0,4,4,5,5,2,3,4,2,2,2,4,5,2,3,2,3,5,2,3,4,4,4,2,3,no,no,0.6,0.95,white,male,12474.0,7248.0,10331.0,6499.0,10853.0,6683.0,11952.0,7064.0,1247.4,724.8,1291.375,649.9,1205.888888888889,668.3,1328.0,706.4,2.75,4.5,2.5,3.5,2.0
7454,19711,1,blkTestCatAAp,28,1,900,Avoid,1,1886,Implicit,s.27eb0e20-5471-49a7-9ea7-a74f59a9afb2.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,957,R_2xzzoaAR4NAkPCP,72,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,85226,Other,FpDEUTsEKw,51,2,4.0,3,None,3,3,51,4,4.0,All,All,All,All,3,4,4,3,3,4,4,5,2,4,3,4,4,2,5,4,4,4,4,5,The instructions for the first section,no,0.6,0.975,white,male,8005.0,8892.0,8249.0,7891.0,7579.0,7311.0,8675.0,9472.0,800.5,988.0,824.9,789.1,757.9,812.3333333333334,867.5,947.2,4.25,4.25,3.5,4.0,2.75
7493,19810,1,blkTestCatAAp,46,1,900,Avoid,1,670,Implicit,s.93bb1ab2-66ae-4c7f-9cd2-fe746768a305.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,568,R_BKdnljN9MB92eNb,36,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,23608,Finance,GuWrUVWDwF,52,1,5.0,All,All,All,All,53,4,5.0,All,All,All,All,3,5,5,4,3,2,2,4,3,3,2,4,4,3,4,2,2,4,3,4,No ,None,0.6,0.95,black,male,5955.0,4469.0,5897.0,4269.0,5797.0,4434.0,6055.0,4304.0,595.5,496.55555555555554,589.7,474.3333333333333,579.7,492.6666666666667,605.5,478.22222222222223,3.5,4.25,2.25,3.25,3.25
7531,19910,1,blkTestCatAAp,31,2,1700,Approach,1,907,Implicit,s.8a304fe8-6702-4a26-a72a-3b3efb5bc466.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1243,R_1ltnDEabcQTD2Aa,61,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,11758,Other,wvbMsXJXKU,90,2,6.0,2,None,None,None,90,2,6.0,5,2,5,5,2,4,4,3,4,2,3,5,2,3,3,4,5,3,4,3,3,5,4,4,No,No,0.6,1.0,white,male,8738.0,8375.0,7958.0,9606.0,8410.0,10030.0,8286.0,7951.0,873.8,837.5,795.8,960.6,841.0,1003.0,828.6,795.1,3.75,4.75,2.5,3.5,3.0
7571,20010,1,blkTestCatAAp,61,2,1800,Approach,1,589,Implicit,s.b5d073aa-893d-4170-9a37-30038ffc6260.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,3333,R_1cZe3ze7uPMJH98,41,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,92121,Education,MbYtnk9GfM,66,2,3.0,2,2,2,2,76,4,6.0,5,5,5,3,2,4,4,2,5,4,4,5,4,5,4,4,4,3,5,3,3,5,4,5,,,0.6,0.975,black,female,5786.0,5248.0,5658.0,6229.0,5075.0,5963.0,6369.0,5514.0,578.6,524.8,628.6666666666666,622.9,563.8888888888889,596.3,636.9,551.4,5.0,4.5,3.25,3.75,3.25
7610,20110,1,blkTestCatAAp,54,1,1600,Avoid,1,509,Implicit,s.ca29f96d-745b-4020-aeb2-d2ebf237f0c2.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1169,R_yDqrOJp3FC6s8g1,58,Male,Male,Black or African American alone,Absolutely not true,Moderate,77901,Other,cR6qvhYjM3,100,1,7.0,5,5,5,5,63,3,5.0,3,3,2,None,4,4,1,1,1,4,4,5,1,5,3,4,4,1,5,3,4,4,1,5,no,no,0.6,1.0,black,male,5697.0,5754.0,5396.0,5758.0,5389.0,5817.0,5704.0,5695.0,569.7,575.4,539.6,575.8,538.9,581.7,570.4,569.5,4.0,3.5,3.5,4.0,1.0
7650,20210,1,blkTestCatAAp,64,1,1300,Avoid,1,583,Implicit,s.f0ed9543-f3a1-4710-80bd-fc5bf8d06350.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,760,R_2WSdjX2CXwmbCIr,22,Male,Male,Black or African American alone,Absolutely not true,Moderate,23851,Food services,GSqSJpSdHS,61,2,6.0,All,None,5,None,56,2,6.0,None,None,5,None,3,3,3,3,3,1,3,3,2,3,1,3,3,3,3,1,2,1,3,2,No,No,0.6,1.0,black,female,5315.0,6521.0,5570.0,4995.0,5278.0,6330.0,5607.0,5186.0,531.5,652.1,557.0,499.5,527.8,633.0,560.7,518.6,2.75,2.5,1.5,2.75,2.75
7690,20310,1,blkTestCatAAp,51,2,2000,Approach,1,3872,Implicit,s.c246227b-5725-4649-b565-b4174ccf929b.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1234,R_1g29Dp7SBzRrJhh,64,Female,Female,Black or African American alone,Absolutely not true,Liberal,29673,Health care,MkkB5kr3ge,71,2,5.0,3,3,All,4,59,5,3.0,3,3,2,3,3,5,4,3,3,4,4,5,3,3,3,4,5,4,3,4,3,5,2,5,no,none,0.6,0.85,black,male,16681.0,13500.0,14454.0,19927.0,17176.0,16904.0,13959.0,16523.0,2085.125,1500.0,1606.0,2490.875,2147.0,1690.4,1551.0,2360.4285714285716,3.5,4.75,3.5,4.0,3.0
7724,20410,1,blkTestCatAAp,28,1,1100,Avoid,1,608,Implicit,s.3e0d0bf4-5880-4326-a22c-8d1f4f69ec39.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1683,R_3JqnqvUeazPwwH1,37,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,10467,Other,2q5fzmmUA3,73,5,6.0,5,4,4,3,93,2,6.0,3,4,2,2,3,4,5,3,4,3,3,3,2,2,3,4,4,2,3,3,3,4,3,4,NO,NO,0.6,0.925,white,male,6864.0,9398.0,7015.0,7975.0,6273.0,8248.0,7606.0,9125.0,762.6666666666666,939.8,876.875,797.5,697.0,824.8,950.75,912.5,3.25,4.0,3.0,3.5,2.5
7761,20510,1,blkTestCatAAp,31,2,1500,Approach,1,794,Implicit,s.52c37d96-d4c3-406e-860a-f2fd9fe1572b.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1458,R_1flMHSeEW3PEE67,69,Female,Female,Black or African American alone,Absolutely not true,Liberal,45208,Prefer not to say,VkmuPvWnhy,82,5,5.0,2,None,All,All,61,2,,All,3,3,None,4,5,4,3,5,4,4,3,2,3,5,4,5,3,4,5,3,4,3,5,no nothing was unclear,no additional comments,0.6,1.0,white,male,5962.0,6076.0,5968.0,8432.0,5314.0,8766.0,6616.0,5742.0,596.2,607.6,596.8,843.2,531.4,876.6,661.6,574.2,4.25,4.0,4.5,4.0,2.75
7801,20610,1,blkTestCatAAp,39,2,1500,Approach,1,546,Implicit,s.a55885b6-193d-43f5-b0ac-e1a77065c849.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,750,R_3hcnhyznsksVe6s,47,Female,Female,Black or African American alone,Absolutely not true,Liberal,30474,Other,UbcTFqW2E7,100,1,7.0,All,All,3,3,100,2,6.0,All,All,All,All,1,5,4,2,5,1,5,3,2,5,1,5,4,3,5,1,4,4,3,5,No,No,0.6,0.975,white,female,5954.0,5385.0,5840.0,4738.0,6164.0,5354.0,5630.0,4769.0,595.4,538.5,584.0,526.4444444444445,616.4,535.4,563.0,529.8888888888889,5.0,3.75,1.0,4.75,2.5
7840,20710,1,blkTestCatAAp,31,2,1600,Approach,1,871,Implicit,s.75776d8d-b568-4952-ad16-1cdad6c3b07a.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1406,R_2E4fBpOHDVqBHMS,46,Female,Female,Black or African American alone,Absolutely not true,Moderate,72120,Other,vpCnGGNp5S,100,2,6.0,All,All,All,All,81,2,6.0,All,All,2,None,1,4,4,2,5,2,3,5,2,3,2,3,4,2,3,2,3,4,3,5,"No, nothing was unclear in this study.",,0.6,0.95,white,male,6524.0,6224.0,6116.0,7184.0,6039.0,6403.0,6601.0,7005.0,652.4,622.4,679.5555555555555,798.2222222222222,671.0,711.4444444444445,660.1,700.5,4.0,4.25,1.75,3.25,2.25
7878,20810,1,blkTestCatAAp,39,2,1400,Approach,1,505,Implicit,s.74381ddf-31aa-4922-9de7-c2c375dc95bd.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1248,R_333GeiWbgkmEy2f,31,Male,Male,Black or African American alone,Absolutely not true,Slightly conservative,34741,Other,9mTXFhLHFx,71,2,,2,4,2,None,30,1,6.0,3,All,2,None,4,3,2,1,5,1,3,5,2,5,5,3,4,2,3,2,1,2,4,5,"No, it was straightforward and the task I think was completed with 100% accuracy. ",None. ,0.6,1.0,white,female,6141.0,6297.0,5896.0,6291.0,6117.0,5802.0,5920.0,6786.0,614.1,629.7,589.6,629.1,611.7,580.2,592.0,678.6,4.5,3.25,3.0,2.5,2.25
7918,20910,1,blkTestCatAAp,65,2,900,Approach,1,713,Implicit,s.82568fa0-0cbc-414f-b389-712d6d77d995.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,832,R_25GVRLjJr4SGxG1,24,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,20784,Other,huu3HKKBqH,100,4,4.0,All,All,All,None,51,1,4.0,None,2,2,None,3,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,3,5,"No, there wasn't anything unclear during this study.","No, I do not.",0.6,0.95,black,female,5739.0,4283.0,5579.0,4911.0,5228.0,4114.0,6090.0,5080.0,573.9,475.8888888888889,557.9,545.6666666666666,522.8,457.1111111111111,609.0,564.4444444444445,5.0,5.0,1.5,5.0,4.5
7956,21010,1,blkTestCatAAp,53,2,1900,Approach,1,1268,Implicit,s.0beadf66-aa83-4607-a4bf-6308d2f713d5.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1042,R_3gLRu91tq3mT0SO,60,Female,Female,Black or African American alone,Absolutely not true,Moderate,40511,Other,xuJjb8Utvn,71,3,4.0,5,2,All,5,40,2,4.0,3,5,2,None,1,5,3,4,3,1,4,4,2,4,1,4,4,4,2,1,4,4,4,4,Not at all,No additional comments at this time,0.6,1.0,black,male,7557.0,11628.0,8546.0,9837.0,8856.0,11018.0,7247.0,10447.0,755.7,1162.8,854.6,983.7,885.6,1101.8,724.7,1044.7,3.25,3.75,1.0,4.25,3.5
7996,21110,1,blkTestCatAAp,42,1,1100,Avoid,1,696,Implicit,s.66739b5b-4471-4788-bd9f-e78322fdcaa7.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,2198,R_bd7hVSyW8J0qhzP,42,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,48212,Hotel services,an2NQ3WvX9,100,2,7.0,5,All,5,All,84,4,6.0,4,All,4,2,4,5,2,5,5,5,5,4,2,5,4,5,4,4,5,5,5,5,4,5,No,No,0.6,1.0,white,female,7641.0,6183.0,7235.0,6428.0,8028.0,5984.0,6848.0,6627.0,764.1,618.3,723.5,642.8,802.8,598.4,684.8,662.7,5.0,3.75,4.5,5.0,3.75
8036,21210,1,blkTestCatAAp,57,2,1000,Approach,1,884,Implicit,s.3ed94faf-1baa-4914-81cc-147479081e6d.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1502,R_12EXnTY2h6yegfW,80,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,13212,Other,xsRMjvYKzP,60,1,4.0,None,3,2,None,60,1,5.0,All,4,5,5,3,4,4,2,4,2,3,4,2,3,2,4,3,2,3,3,4,5,2,4,NO,None,0.6,1.0,black,female,7028.0,11256.0,9855.0,13184.0,7644.0,12601.0,9239.0,11839.0,702.8,1125.6,985.5,1318.4,764.4,1260.1,923.9,1183.9,3.5,4.0,2.5,3.75,2.0
8076,21310,1,blkTestCatAAp,53,2,1200,Approach,1,729,Implicit,s.98a38f01-bce0-43a4-a554-5f9cbc8f19a8.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,928,R_Usc87gnxaFf0B8J,57,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,60202,Other,tU7nOGFhLS,60,2,5.0,4,2,4,4,70,2,6.0,4,All,4,4,1,4,4,2,4,2,4,4,2,4,2,3,4,2,4,2,4,4,2,4,I think everything was clear.,No.,0.6,1.0,black,male,7613.0,7654.0,8292.0,6868.0,7700.0,7551.0,8205.0,6971.0,761.3,765.4,829.2,686.8,770.0,755.1,820.5,697.1,4.0,4.0,1.75,3.75,2.0
8116,21410,1,blkTestCatAAp,55,2,1100,Approach,1,1113,Implicit,s.58cd1a79-2aed-427c-977b-8f5e4c55430e.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1194,R_Y0t2DezuBlsACjf,42,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,95050,Information services,ZCMSWbVpbd,95,7,6.0,4,5,4,5,70,3,6.0,2,3,4,3,3,4,4,3,4,2,4,5,2,3,4,4,5,4,3,2,4,5,4,5,absolutely nothing is unclear because everything went well as proposed,None,0.6,0.9,black,male,7982.0,9081.0,7417.0,6539.0,6308.0,7628.0,9091.0,7992.0,798.2,908.1,927.125,817.375,788.5,847.5555555555555,909.1,888.0,3.75,4.75,2.75,4.0,3.25
8152,21510,1,blkTestCatAAp,39,2,1200,Approach,1,534,Implicit,s.c4d07c6f-8c2d-46ac-bcdc-17e9117f214a.txt,Faces_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,716,R_1rqzJ9oG8Vphvb0,53,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,40272,Other,cbOUY27KXU,51,2,4.0,2,None,None,None,51,3,4.0,5,All,5,5,1,3,3,2,3,2,2,3,2,1,3,3,4,4,3,2,2,3,2,4,dont thiink so,not today,0.6,0.95,white,female,5960.0,5601.0,5049.0,4687.0,6232.0,4947.0,4777.0,5341.0,662.2222222222222,560.1,561.0,468.7,692.4444444444445,494.7,530.7777777777778,534.1,2.75,3.25,2.0,2.5,2.5
