,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
6721,18260,1,blkTestCatAAp,29,1,1300,Avoid,1,848,Explicit,s.930ccdb0-0a5a-4017-adeb-b29a17eb8fa4.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1149,R_xx83E1X0H8tAfIJ,63,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,72120,Other,gaUJ7K3Cf2,51,2,5.0,3,4,4,None,71,2,5.0,4,4,5,All,2,4,4,2,3,4,3,3,3,3,3,4,4,2,3,3,4,3,3,3,No,Nothing I can think of. Thank you for this opportunity.,yes,0.95,white,male,9468.0,12690.0,11538.0,12251.0,21006.0,0.0,0.0,24941.0,1183.5,1269.0,1153.8,1225.1,1167.0,0.0,0.0,1247.05,3.0,3.5,3.0,3.75,2.5
6759,18360,1,blkTestCatAAp,32,1,1400,Avoid,1,682,Explicit,s.d20878bc-51d3-4ed3-852d-1342d73e2a28.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,726,R_1gIS4A56hbmWNS0,30,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,32757,Prefer not to say,R9PMpmXynh,64,2,2.0,None,3,2,None,51,1,6.0,All,All,All,4,1,4,3,4,5,1,4,2,2,2,1,2,4,1,3,2,4,2,5,5,no,no,yes,0.975,white,male,8424.0,8698.0,8679.0,11980.0,17103.0,0.0,0.0,20678.0,936.0,869.8,867.9,1198.0,900.1578947368421,0.0,0.0,1033.9,3.75,2.75,1.25,3.5,3.0
6798,18467,1,blkTestCatAAp,27,1,1200,Avoid,1,1225,Explicit,s.1fbcbabe-c526-4eca-af55-9b6764b5225a.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,2777,R_2qvHjTEOev7wMes,60,Female,Female,Black or African American alone,Absolutely not true,Moderate,30058,Other,872shJuNzE,100,1,6.0,5,5,5,5,96,2,6.0,4,All,4,3,1,5,2,1,3,4,5,5,1,5,1,5,4,1,5,1,5,5,2,5,"The only thing that was a bit ambiguous was the thermometer questions. I had to read the instructors a couple of times and still wasnt quite sure what was being asked, even though I think I stumbled onto the idea of I was supposed to answer. ","The only comment I have is that I dont think of people in terms of their grouping, by skin tone or any other grouping. I see people as individuals . That fact made it difficult for me to answer the questions regarding my feelings (warm to cold) of groups of people. I think of people in terms of their own character, the way they are, no matter to what group they belong. 

Even though I have many friends who are married to someone of a different group (as defined in this survey), I had a hard time trying to recall them because, as I said, I think of people as people, not as members of a particular group. I never saw the couples as being of two different groups. In other words, I dont think of people as black or white. I think of them as human beings of good or bad character. If the survey had asked me my feelings towards people, of good or bad character, there wouldve been a huge difference in the thermostat readings.",yes,0.15,white,male,0.0,2708.0,0.0,7542.0,0.0,0.0,0.0,10250.0,0.0,1354.0,0.0,1885.5,0.0,0.0,0.0,1708.3333333333333,4.5,4.0,1.75,5.0,1.25
6804,18560,1,blkTestCatAAp,44,1,1600,Avoid,1,1667,Explicit,s.4d04a20e-a632-4e20-a24c-01842b34e139.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,942,R_1i84nIFvKrgm1lB,60,Female,Female,Black or African American alone,Absolutely not true,Liberal,70053,Other,rGxOERFue5,81,3,5.0,2,3,4,None,52,3,3.0,4,5,4,None,2,4,4,3,3,2,3,3,2,4,2,4,3,2,4,2,3,4,3,4,nothing unclear,interesting survey,yes,0.875,white,female,7651.0,7206.0,8572.0,11469.0,16223.0,0.0,0.0,18675.0,956.375,1029.4285714285713,857.2,1146.9,901.2777777777778,0.0,0.0,1098.5294117647059,3.75,3.5,2.0,3.5,2.5
6839,18660,1,blkTestCatAAp,40,1,1900,Avoid,1,1564,Explicit,s.dc8499fe-bbed-4ccf-b276-f6229e9ae647.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,2262,R_1EY8bd7EOUDRmEh,72,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,44055,Other,wKYSYtMuWA,90,3,6.0,3,3,3,None,55,2,5.0,3,4,3,2,2,4,2,1,4,3,4,2,2,3,2,4,4,2,3,2,4,4,2,4,Some of the directions could have been explained better. They were confusing somewhat.,I noticed a change in size when names were identified. Names identified as black were reduced in size whereas names identified as white were increased in size.,yes,0.925,white,female,14651.0,16834.0,15421.0,17755.0,30072.0,0.0,0.0,34589.0,1627.888888888889,1870.4444444444443,1542.1,1972.7777777777778,1582.7368421052631,0.0,0.0,1921.611111111111,3.5,3.0,2.25,4.0,1.75
6876,18760,1,blkTestCatAAp,58,2,1000,Approach,1,1000,Explicit,s.9ddcd6df-237d-41d9-aaa7-6fa09f8ea5e7.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,970,R_qVFQzH66PTwRoAN,38,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,48224,Other,QJaXRykTg5,75,3,5.0,All,5,All,All,25,3,4.0,None,None,None,None,3,5,5,4,5,1,2,5,3,2,1,4,4,1,3,1,1,5,3,5,"Nope, everything was crystal clear",None at all.,yes,1.0,black,female,6936.0,7024.0,7007.0,8433.0,13943.0,0.0,0.0,15457.0,693.6,702.4,700.7,843.3,697.15,0.0,0.0,772.85,3.75,4.75,1.5,3.0,2.75
6916,18860,1,blkTestCatAAp,36,1,1000,Avoid,1,1322,Explicit,s.b1369ac9-bf77-4a4a-a7ec-81000d1f49e7.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,925,R_2Yy6uisEVSY45OO,55,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,92101,Other,A4ygngFDjD,65,3,4.0,3,None,2,None,65,3,4.0,3,None,4,5,2,4,4,2,5,2,3,4,4,5,3,5,5,3,4,2,3,5,5,5,"It was fairly clear what I was supposed to do, but unclear as to why I was doing it. ",Not at this time. ,yes,0.95,white,female,9423.0,11168.0,7920.0,11129.0,17343.0,0.0,0.0,22297.0,942.3,1116.8,990.0,1112.9,963.5,0.0,0.0,1114.85,4.75,4.5,2.25,3.75,3.5
6954,18960,1,blkTestCatAAp,29,1,1200,Avoid,1,1916,Explicit,s.5a115e49-b2b8-43e8-b11a-0c8b799aea26.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1447,R_pz1RJ8QByFmnM0V,45,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,43017,Other,R4UC7vpQPD,71,1,6.0,All,All,4,2,71,4,4.0,All,All,4,5,3,5,5,1,4,4,4,5,2,4,5,4,4,2,3,5,5,5,1,4,Trying to understand what black and white meant. Unless I missed something it would be more helpful to advise the participant is associating and classifying race as relates to names.,Interesting study for sure.,yes,1.0,white,male,13653.0,14389.0,13159.0,16089.0,26812.0,0.0,0.0,30478.0,1365.3,1438.9,1315.9,1608.9,1340.6,0.0,0.0,1523.9,3.75,4.75,4.25,4.5,1.5
6994,19061,1,blkTestCatAAp,58,2,1700,Approach,1,474,Explicit,s.ac8c1162-1723-4900-aafa-89e60cc3c53d.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1080,R_12sTCyu491ZUDcw,57,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,3801,Other,F6DT5udfmD,60,2,5.0,3,None,3,None,76,3,6.0,5,5,5,5,1,4,4,2,4,4,3,5,1,3,4,4,4,2,3,4,4,4,4,4,,,yes,0.5,black,female,10844.0,6753.0,3684.0,2042.0,14528.0,0.0,0.0,8795.0,2168.8,1350.6,526.2857142857143,680.6666666666666,1210.6666666666667,0.0,0.0,1099.375,3.5,4.25,3.25,3.75,2.25
7014,19160,1,blkTestCatAAp,31,1,1600,Avoid,1,719,Explicit,s.1b486e80-6071-4bd4-8c24-cf4fcfc30545.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,788,R_3NJmMbRONqMJvZj,30,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,33309,Food services,xuGaKrQknb,59,5,5.0,5,4,3,2,85,1,7.0,5,4,All,All,5,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,5,5,4,5,no,no,yes,0.95,white,male,6763.0,6059.0,7017.0,5640.0,13780.0,0.0,0.0,11699.0,676.3,673.2222222222222,701.7,626.6666666666666,689.0,0.0,0.0,649.9444444444445,4.25,4.0,4.25,4.0,3.5
7052,19260,1,blkTestCatAAp,39,1,800,Avoid,1,617,Explicit,s.6f8f65c4-3674-419e-a348-e84fd74f8bb0.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,971,R_1kMoABNYjik8kV5,21,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,14904,Prefer not to say,wvk6eSYEkb,60,1,5.0,3,4,3,None,55,3,5.0,4,5,4,3,2,4,3,2,3,3,4,4,3,4,2,3,4,3,4,2,3,3,3,3,"The part where I had to rank how many of my ingroup knew people of certain races had highly unclear instructions, so I hope I didn't get anything wrong.",No.,yes,0.9,white,female,5358.0,6754.0,9640.0,7182.0,14998.0,0.0,0.0,13936.0,893.0,675.4,964.0,718.2,937.375,0.0,0.0,696.8,3.5,3.5,2.25,3.5,2.75
7088,19360,1,blkTestCatAAp,52,1,1100,Approach,1,1056,Implicit,s.c8e77d7c-82a8-4b83-a0d6-25554766a7fc.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1121,R_3G3unxOTdPtWvJ6,88,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,64116,Other,czfNBuR9yV,82,2,6.0,3,4,3,2,77,3,6.0,5,5,5,4,1,4,2,4,4,3,4,2,2,2,2,2,4,4,3,2,2,2,4,4,Not very much,,,1.0,black,male,12007.0,11553.0,11730.0,9861.0,12972.0,11287.0,10765.0,10127.0,1200.7,1155.3,1173.0,986.1,1297.2,1128.7,1076.5,1012.7,3.25,2.5,2.0,3.0,3.5
7128,19461,1,blkTestCatAAp,32,1,1000,Approach,1,1406,Implicit,s.be0015d9-4523-4980-bba4-70c7a56eba33.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1143,R_3RsVfV97LAUTfej,43,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,89179,Other,ePBFGDVev2,100,5,3.0,All,All,All,All,50,2,6.0,All,All,All,None,5,5,2,2,4,2,2,4,1,1,4,4,4,1,5,4,4,5,1,5,no ,no,,0.95,white,male,6063.0,8115.0,5592.0,8103.0,5372.0,7519.0,6283.0,8699.0,673.6666666666666,901.6666666666666,559.2,810.3,596.8888888888889,835.4444444444445,628.3,869.9,3.75,3.75,3.75,3.75,1.25
7166,19560,1,blkTestCatAAp,47,2,1700,Avoid,1,1159,Implicit,s.9159e174-30cc-49af-8e62-074074070685.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,951,R_12hAQcmTdcIiIky,49,Female,Female,Black or African American alone,Absolutely not true,Moderate,28119,Other,RkfGVmCyBu,53,3,5.0,All,All,All,All,51,3,3.0,2,None,2,None,2,5,5,4,1,2,2,3,3,2,1,3,5,3,4,2,3,5,3,4,"No, it was not.","No, I do not.",,0.925,black,male,6155.0,6456.0,6586.0,6076.0,6621.0,7065.0,6120.0,5467.0,615.5,807.0,658.6,675.1111111111111,662.1,785.0,612.0,683.375,2.75,4.5,1.75,3.25,3.25
7203,19660,1,blkTestCatAAp,28,1,1600,Approach,1,996,Implicit,s.c60791a9-929a-4024-bd6e-fc3fcc941d9d.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1435,R_1Dp1SHrOMkIEzBk,70,Female,Female,Black or African American alone,Absolutely not true,Moderate,77063,Other,EvU4SeFUxR,82,2,6.0,3,4,3,3,81,1,7.0,4,4,3,3,3,4,3,2,3,3,4,4,2,4,4,4,4,2,3,3,4,4,3,4,No,No,,0.975,white,male,7647.0,5799.0,6968.0,6007.0,6486.0,5460.0,8129.0,6346.0,764.7,579.9,696.8,667.4444444444445,648.6,606.6666666666666,812.9,634.6,3.5,3.75,3.25,4.0,2.25
7242,19760,1,blkTestCatAAp,40,1,800,Approach,1,899,Implicit,s.21d79454-0094-4216-ae65-3082d6cd42fe.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,634,R_VVHOgg52mGBwZ45,32,Male,Male,Black or African American alone,Absolutely not true,Moderate,90057,Entertainment,WGqN2teH7L,100,1,7.0,5,All,All,5,100,1,7.0,All,All,All,4,3,4,3,2,5,5,4,3,2,5,3,4,2,2,5,4,5,3,2,5,no,none,,0.975,white,female,4782.0,5994.0,4994.0,6212.0,4430.0,6132.0,5346.0,6074.0,478.2,599.4,554.8888888888889,621.2,492.22222222222223,613.2,534.6,607.4,5.0,2.75,3.75,4.25,2.0
7281,19860,1,blkTestCatAAp,38,1,900,Approach,1,731,Implicit,s.b3b8b134-dc84-4d8e-93c4-abd72089a9c4.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1469,R_2ykAGe3iTetEhrf,64,Female,Female,Black or African American alone,Absolutely not true,Liberal,36701,Other,CZwVEXwapK,95,1,7.0,All,All,All,All,82,1,6.0,None,None,None,None,2,5,3,1,3,2,4,4,2,3,2,4,4,2,3,2,5,4,1,3,The questions/statements on excluding a statement or group of people.,no,,0.95,white,female,7689.0,8220.0,6270.0,8504.0,7455.0,8532.0,6504.0,8192.0,768.9,822.0,783.75,850.4,828.3333333333334,853.2,722.6666666666666,819.2,3.0,3.75,2.0,4.5,1.5
7319,19960,1,blkTestCatAAp,28,1,1000,Approach,1,431,Implicit,s.bf053dd8-0295-4756-a23d-6e012f6b3d28.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1182,R_3nUEe3t1tRUEwSe,43,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,20706,Other,8QMYHXcuCh,50,5,3.0,3,2,5,3,40,6,4.0,5,5,2,2,1,5,3,1,3,2,2,5,1,2,3,3,3,2,4,3,4,5,3,4,No,No,,1.0,white,male,7086.0,7942.0,6723.0,7426.0,6556.0,7959.0,7253.0,7409.0,708.6,794.2,672.3,742.6,655.6,795.9,725.3,740.9,3.25,4.0,2.25,3.5,1.75
7359,20060,1,blkTestCatAAp,42,1,800,Approach,1,2094,Implicit,s.cbb9e7ca-bc1c-470f-a5ca-be21612855e8.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,2198,R_BFmkmDaxWfxfUZz,62,Male,Male,Black or African American alone,Absolutely not true,Moderate,29016,Other,bUTWATm2kn,100,1,6.0,3,4,All,All,60,4,5.0,2,4,2,4,1,5,3,4,4,3,4,5,4,4,3,4,5,3,5,4,5,5,3,4,no,no,,1.0,white,female,7800.0,7545.0,8035.0,7634.0,8195.0,8092.0,7640.0,7087.0,780.0,754.5,803.5,763.4,819.5,809.2,764.0,708.7,4.25,4.5,2.75,4.5,3.5
7399,20160,1,blkTestCatAAp,49,2,1100,Avoid,1,1135,Implicit,s.f86e24d6-0786-4814-b99a-6966c60df514.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1541,R_1l4VBP1Y8Yvz0cJ,45,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,39047,Other,JvygOwyYrg,0,7,1.0,3,All,None,None,100,1,7.0,All,None,All,None,1,5,3,4,5,1,5,5,1,4,1,5,4,5,1,1,4,1,5,5,,,,0.825,black,male,25447.0,20184.0,14060.0,18380.0,18240.0,15880.0,21267.0,22684.0,2544.7,2523.0,2343.3333333333335,2042.2222222222222,2605.714285714286,1985.0,2363.0,2520.4444444444443,3.75,3.25,1.0,4.75,3.75
7432,20260,1,blkTestCatAAp,44,1,1400,Approach,1,1252,Implicit,s.a548420e-de31-423c-bcf2-5b323081a730.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,950,R_3ewUbOWq71E0Snc,29,Female,Female,Black or African American alone,Absolutely not true,Moderate,22079,Other,M2eLE3U7LJ,90,3,7.0,4,4,4,5,80,3,6.0,5,All,4,2,2,5,2,3,5,4,5,4,2,3,2,4,4,3,4,2,4,4,4,5,no,no,,0.975,white,female,9480.0,7404.0,8333.0,5375.0,8454.0,5443.0,9359.0,7336.0,948.0,740.4,833.3,597.2222222222222,845.4,604.7777777777778,935.9,733.6,4.25,3.5,2.5,4.5,3.0
7471,20360,1,blkTestCatAAp,47,2,1500,Avoid,1,658,Implicit,s.c6e6375c-9a1c-42c1-b971-9f81df370f37.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1069,R_2U4Tsf79c5QqRGB,42,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,4106,Hotel services,uYJx5L56Yb,91,1,7.0,5,5,5,4,91,3,7.0,All,All,All,All,3,5,4,3,5,4,5,5,4,5,5,5,4,4,5,4,5,4,5,5,"No, well done",I do not,,0.975,black,male,8854.0,6941.0,6151.0,8080.0,8488.0,6788.0,6517.0,8233.0,885.4,694.1,683.4444444444445,808.0,848.8,678.8,724.1111111111111,823.3,5.0,4.25,4.0,5.0,4.0
7510,20460,1,blkTestCatAAp,61,2,1300,Avoid,1,1052,Implicit,s.d609cffe-599e-48ac-a31e-8be24196964a.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,952,R_10pXykZ1XHqXiN2,65,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,48234,Prefer not to say,Wcv6OSmMYh,97,1,7.0,5,All,All,5,98,1,7.0,4,All,2,2,1,4,4,2,1,3,3,5,2,3,3,4,4,2,3,3,4,4,3,2,"What was the exercise with the different names for, what were you testing..........",no thank you,,1.0,black,female,8540.0,8097.0,7706.0,8804.0,8110.0,8847.0,8136.0,8054.0,854.0,809.7,770.6,880.4,811.0,884.7,813.6,805.4,2.25,4.25,2.5,3.75,2.25
7550,20560,1,blkTestCatAAp,34,1,1000,Approach,1,3302,Implicit,s.288223a7-9f88-4bde-b96f-98cfd393c973.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1224,R_3oOaquqbXGb9Gld,66,Female,Female,Black or African American alone,Absolutely not true,Moderate,28205,Other,Mrr7TpDhLp,90,4,7.0,5,5,5,5,63,5,4.0,4,4,4,4,4,5,4,3,4,4,4,3,2,3,4,4,4,3,2,4,4,3,3,4,No,No,,1.0,white,male,14506.0,10583.0,10108.0,10766.0,11682.0,10248.0,12932.0,11101.0,1450.6,1058.3,1010.8,1076.6,1168.2,1024.8,1293.2,1110.1,3.25,3.5,4.0,4.25,2.75
7590,20660,1,blkTestCatAAp,42,1,1100,Approach,1,725,Implicit,s.7bc0ede3-f096-4a77-afcc-f1f4dd94c002.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,792,R_2lqGM0pEe6kDTMZ,29,Male,Male,Black or African American alone,Absolutely not true,Moderate,90230,Other,q3svFcRWZF,86,1,7.0,3,3,3,3,51,3,5.0,5,5,3,3,4,4,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,no,no,,1.0,white,female,8762.0,7333.0,7611.0,9621.0,7263.0,8146.0,9110.0,8808.0,876.2,733.3,761.1,962.1,726.3,814.6,911.0,880.8,2.75,2.75,2.75,3.25,3.0
7630,20760,1,blkTestCatAAp,60,1,1700,Approach,1,1170,Implicit,s.d72137c4-6379-43aa-ad21-09a4b4d199a3.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,967,R_vPiyEfaSxETeN69,64,Female,Female,Black or African American alone,Absolutely not true,Moderate,63109,Other,rCu6fHKkfV,100,2,5.0,3,3,All,5,51,5,3.0,2,4,None,2,2,4,4,1,2,4,2,5,2,3,3,3,4,1,5,3,4,5,1,3,"yes, didn't see the point of the first part",no,,0.925,black,female,9484.0,6615.0,11035.0,7174.0,10452.0,6569.0,10067.0,7220.0,1185.5,735.0,1103.5,717.4,1161.3333333333333,729.8888888888889,1118.5555555555557,722.0,3.25,4.5,3.0,3.25,1.25
7667,20860,1,blkTestCatAAp,41,2,1900,Avoid,1,813,Implicit,s.de0d5d46-810f-4ea1-acab-17c0043a4b96.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1999,R_27wyCb1hxGSS24Z,41,Male,Male,Black or African American alone,Absolutely not true,Liberal,75013,Other,pPZryN8VKY,94,4,6.0,4,4,3,3,67,4,5.0,4,4,3,4,2,4,3,4,4,2,2,3,3,4,3,4,4,4,2,2,3,2,4,4,NO THERE WASN'T,NO COMMENT,,1.0,white,female,10048.0,9901.0,11133.0,10900.0,10217.0,10699.0,10964.0,10102.0,1004.8,990.1,1113.3,1090.0,1021.7,1069.9,1096.4,1010.2,3.5,3.0,2.25,3.25,3.75
7707,20960,1,blkTestCatAAp,56,1,2000,Approach,1,479,Implicit,s.d9aa54c0-73d7-4858-ba07-fba8f4b414ed.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1200,R_sZKikoiETw2T5hD,48,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,30830,Other,LzfEaR8Kxw,95,2,7.0,4,All,5,3,71,4,5.0,2,All,3,2,1,4,2,5,5,1,3,2,4,4,2,4,4,4,2,1,4,2,4,5,The way the questions at the end were worded.,No.,,0.925,black,female,6639.0,6314.0,4899.0,6959.0,5386.0,5567.0,6152.0,7706.0,737.6666666666666,631.4,544.3333333333334,773.2222222222222,598.4444444444445,618.5555555555555,683.5555555555555,770.6,4.0,2.5,1.25,3.75,4.25
7744,21060,1,blkTestCatAAp,26,1,900,Approach,1,404,Implicit,s.3e760676-e163-40f0-b4d7-7dc6d3daa8c8.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1717,R_27HvYl5etwye5Kb,33,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,14305,Prefer not to say,mx5tVk5cqA,40,1,2.0,3,None,None,3,60,2,5.0,5,None,None,5,2,3,3,3,3,3,3,3,4,3,3,3,4,4,2,2,3,2,4,3,Not really.,"No, I don't.",,1.0,white,male,6528.0,6117.0,5305.0,5678.0,6865.0,6176.0,4968.0,5619.0,652.8,611.7,530.5,567.8,686.5,617.6,496.8,561.9,2.75,3.0,2.5,3.0,3.75
7784,21160,1,blkTestCatAAp,58,1,1500,Approach,1,900,Implicit,s.0c02a679-f0cd-4ac7-8ec3-94b6d3c45ec6.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1304,R_9FzknresMrlaIhj,74,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,59718,Other,8F5axmxBKg,65,2,5.0,4,4,4,4,61,4,5.0,4,4,4,4,1,4,4,3,4,2,4,5,2,4,1,4,5,3,4,2,5,5,3,5,nothing was unclear,nothing,,1.0,black,female,6439.0,7063.0,6885.0,6191.0,6924.0,6082.0,6400.0,7172.0,643.9,706.3,688.5,619.1,692.4,608.2,640.0,717.2,4.25,4.75,1.5,4.25,2.75
7824,21260,1,blkTestCatAAp,28,1,2000,Approach,1,340,Implicit,s.d4861926-5622-4684-96a6-1cb8e16c6149.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,928,R_3JblsoX5fDLnt2m,66,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,32738,Military,f89nHCghZc,98,1,5.0,4,None,2,None,50,2,6.0,5,None,All,All,3,4,2,4,5,2,1,1,2,4,5,4,4,3,4,3,2,2,5,4,no,no,,0.875,white,male,5373.0,4542.0,4576.0,3976.0,4623.0,4550.0,5326.0,3968.0,597.0,504.6666666666667,508.44444444444446,497.0,577.875,568.75,532.6,440.8888888888889,4.25,2.25,3.25,2.75,3.5
7859,21360,1,blkTestCatAAp,60,1,2000,Approach,1,2136,Implicit,s.ca94bb37-1f7a-42e4-bcf9-ba4102e62fa8.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1419,R_1q3XWuSTz77kiSH,84,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,28803,Other,vm9ySdxbXS,41,2,6.0,None,3,2,2,71,3,6.0,All,3,5,All,2,4,4,2,3,4,4,3,2,4,4,3,4,3,4,3,4,4,2,4,Directions on U forward M back part not at first clear,I would like to read results summary. ,,1.0,black,female,15816.0,14271.0,15926.0,18716.0,17693.0,15322.0,14049.0,17665.0,1581.6,1427.1,1592.6,1871.6,1769.3,1532.2,1404.9,1766.5,3.75,3.75,3.25,3.75,2.25
7899,21460,1,blkTestCatAAp,52,1,1800,Approach,1,1119,Implicit,s.0eec9b3d-5fbf-4bef-8271-f08e3175d521.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,7619,R_1HjF7zYQsFdqeIN,55,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,76541,Other,EykVSdwmRf,100,1,7.0,3,None,4,None,50,1,7.0,4,None,4,4,1,4,2,2,5,2,4,3,4,1,1,4,4,2,1,1,4,4,2,5,nothing was unclear,I liked the survey.  it was fun and easy to complete.,,1.0,black,male,9779.0,11709.0,9325.0,10834.0,9683.0,10739.0,9421.0,11804.0,977.9,1170.9,932.5,1083.4,968.3,1073.9,942.1,1180.4,3.0,3.25,1.25,4.0,2.5
7939,21560,1,blkTestCatAAp,58,1,1900,Approach,1,1115,Implicit,s.64ed0f0d-192e-4199-8088-47a2a8a50d17.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1101,R_25skXVP8oRQyZgG,66,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,4061,Other,HnjzQLaGUM,25,5,3.0,None,3,None,None,89,3,6.0,All,All,All,All,3,4,3,1,3,4,5,4,2,4,4,3,3,1,4,4,4,5,4,4,"no, instructions clear","survey worked fine, no technical problems",,1.0,black,female,9928.0,10919.0,11980.0,9690.0,10373.0,10567.0,11535.0,10042.0,992.8,1091.9,1198.0,969.0,1037.3,1056.7,1153.5,1004.2,3.75,3.75,3.75,4.0,2.0
